date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:54:54	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Nov%202020%2016:54:51%20GMT	http://maquetapremium.debluebyte.com/robots.txt		(from )
13:54:57	427940/427940	---M--	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2016:54:52%20GMT	http://maquetapremium.debluebyte.com/	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/index.html	(from )
13:55:02	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Nov%202020%2016:54:57%20GMT	http://maquetapremium.debluebyte.com/assets/css/_calendar.css	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/assets/css/_calendar.1.delayed	(from http://maquetapremium.debluebyte.com/)
13:55:04	750817/750817	---M--	200	added ('OK')	text/css	etag:%22030aa54765d61:0%22	http://maquetapremium.debluebyte.com/assets/css/screen.css	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/assets/css/screen.css	(from http://maquetapremium.debluebyte.com/)
13:55:04	64217/64217	---M--	200	added ('OK')	text/css	etag:%22030aa54765d61:0%22	http://maquetapremium.debluebyte.com/assets/css/min/style.min.css	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/assets/css/min/style.min.css	(from http://maquetapremium.debluebyte.com/)
13:55:06	1035/1035	---M--	200	added ('OK')	image/png	etag:%22030aa54765d61:0%22	http://maquetapremium.debluebyte.com/assets/images/favicon-32x32.png	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/assets/images/favicon-32x32.png	(from http://maquetapremium.debluebyte.com/)
13:55:06	771/771	---M--	200	added ('OK')	image/png	etag:%22030aa54765d61:0%22	http://maquetapremium.debluebyte.com/assets/images/favicon-16x16.png	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/assets/images/favicon-16x16.png	(from http://maquetapremium.debluebyte.com/)
13:55:06	2625/2625	---M-Z	200	added ('OK')	text/css	etag:%221121ccb-a41-5712f444e15da-gzip%22	https://cdn.datatables.net/1.10.19/css/dataTables.semanticui.min.css	C:/Users/juane/Desktop/Powermeter%20UI/cdn.datatables.net/1.10.19/css/dataTables.semanticui.min.css	(from http://maquetapremium.debluebyte.com/)
13:55:06	3992/3992	---M-Z	200	added ('OK')	text/css	etag:%2213c1e9a-f98-5712f467268f2-gzip%22	https://cdn.datatables.net/responsive/2.2.3/css/responsive.semanticui.min.css	C:/Users/juane/Desktop/Powermeter%20UI/cdn.datatables.net/responsive/2.2.3/css/responsive.semanticui.min.css	(from http://maquetapremium.debluebyte.com/)
13:55:07	628536/628536	---M-Z	200	added ('OK')	text/css	etag:W/%2299738-xBtVnjRc5piOJZyFKbhk0QxxYOQ%22	https://cdn.jsdelivr.net/npm/semantic-ui@2.4.2/dist/semantic.min.css	C:/Users/juane/Desktop/Powermeter%20UI/cdn.jsdelivr.net/npm/semantic-ui@2.4.2/dist/semantic.min.css	(from http://maquetapremium.debluebyte.com/)
13:55:09	361/361	---M--	200	added ('OK')	image/png	etag:%22030aa54765d61:0%22	http://maquetapremium.debluebyte.com/assets/images/campana.png	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/assets/images/campana.png	(from http://maquetapremium.debluebyte.com/)
13:55:09	12547/12547	---M--	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2016:55:06%20GMT	http://maquetapremium.debluebyte.com/configuracion.php	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/configuracion.html	(from http://maquetapremium.debluebyte.com/)
13:55:09	9971/9971	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2014%20Nov%202020%2016:55:08%20GMT	https://kit.fontawesome.com/c43c022dac.js	C:/Users/juane/Desktop/Powermeter%20UI/kit.fontawesome.com/c43c022dac.js	(from http://maquetapremium.debluebyte.com/)
13:55:10	471/471	---M--	200	added ('OK')	image/png	etag:%22030aa54765d61:0%22	http://maquetapremium.debluebyte.com/assets/images/config.png	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/assets/images/config.png	(from http://maquetapremium.debluebyte.com/)
13:55:10	12658/12658	---M--	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2016:55:06%20GMT	http://maquetapremium.debluebyte.com/soporte.php	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/soporte.html	(from http://maquetapremium.debluebyte.com/)
13:55:10	468/468	---M--	200	added ('OK')	image/png	etag:%22030aa54765d61:0%22	http://maquetapremium.debluebyte.com/assets/images/faqs.png	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/assets/images/faqs.png	(from http://maquetapremium.debluebyte.com/)
13:55:10	378/378	---M--	200	added ('OK')	image/png	etag:%22030aa54765d61:0%22	http://maquetapremium.debluebyte.com/assets/images/logout.png	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/assets/images/logout.png	(from http://maquetapremium.debluebyte.com/)
13:55:11	332/332	---M--	200	added ('OK')	image/png	etag:%22030aa54765d61:0%22	http://maquetapremium.debluebyte.com/assets/images/first-menu.png	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/assets/images/first-menu.png	(from http://maquetapremium.debluebyte.com/)
13:55:13	16305/16305	---M--	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2016:55:09%20GMT	http://maquetapremium.debluebyte.com/mapa.php	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/mapa.html	(from http://maquetapremium.debluebyte.com/)
13:55:15	427940/427940	---M--	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2016:55:07%20GMT	http://maquetapremium.debluebyte.com/index.php	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/index-2.html	(from http://maquetapremium.debluebyte.com/)
13:55:15	26436/26436	---M--	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2016:55:09%20GMT	http://maquetapremium.debluebyte.com/planta.php	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/planta.html	(from http://maquetapremium.debluebyte.com/)
13:55:16	63765/63765	---M--	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2016:55:10%20GMT	http://maquetapremium.debluebyte.com/facturacion.php	C:/Users/juane/Desktop/Powermeter%20UI/maquetapremium.debluebyte.com/facturacion.html	(from http://maquetapremium.debluebyte.com/)
